Neighborhoods,pop 2013-2017,pop 2015-2019
Allston,19363,19261
Back Bay,18176,17783
Beacon Hill,9751,9648
Brighton,51785,55297
Charlestown,18901,19890
Dorchester,125947,126909
Downtown,17581,18306
East Boston,46655,47263
Fenway,32598,33489
Hyde Park,37094,38924
Jamaica Plain,39314,40867
Longwood,5389,5351
Mattapan,25586,26659
Mission Hill,17406,17386
North End,9271,8749
Roslindale,29206,30021
Roxbury,52944,54161
South Boston,36212,36772
South Boston Waterfront,3443,4403
South End,32040,32571
West End,6173,6619
West Roxbury,33930,33526